,법정동코드,시도명,시군구명,읍면동명,동리명,법정동시군구코드,법정동읍면동코드,주소
0,1111010100,서울특별시,종로구,청운동,,11110,10100,서울특별시 종로구 청운동
1,1111010200,서울특별시,종로구,신교동,,11110,10200,서울특별시 종로구 신교동
2,1111010300,서울특별시,종로구,궁정동,,11110,10300,서울특별시 종로구 궁정동
3,1111010400,서울특별시,종로구,효자동,,11110,10400,서울특별시 종로구 효자동
4,1111010500,서울특별시,종로구,창성동,,11110,10500,서울특별시 종로구 창성동
5,1111010600,서울특별시,종로구,통의동,,11110,10600,서울특별시 종로구 통의동
6,1111010700,서울특별시,종로구,적선동,,11110,10700,서울특별시 종로구 적선동
7,1111010800,서울특별시,종로구,통인동,,11110,10800,서울특별시 종로구 통인동
8,1111010900,서울특별시,종로구,누상동,,11110,10900,서울특별시 종로구 누상동
9,1111011000,서울특별시,종로구,누하동,,11110,11000,서울특별시 종로구 누하동
10,1111011100,서울특별시,종로구,옥인동,,11110,11100,서울특별시 종로구 옥인동
11,1111011200,서울특별시,종로구,체부동,,11110,11200,서울특별시 종로구 체부동
12,1111011300,서울특별시,종로구,필운동,,11110,11300,서울특별시 종로구 필운동
13,1111011400,서울특별시,종로구,내자동,,11110,11400,서울특별시 종로구 내자동
14,1111011500,서울특별시,종로구,사직동,,11110,11500,서울특별시 종로구 사직동
15,1111011600,서울특별시,종로구,도렴동,,11110,11600,서울특별시 종로구 도렴동
16,1111011700,서울특별시,종로구,당주동,,11110,11700,서울특별시 종로구 당주동
17,1111011800,서울특별시,종로구,내수동,,11110,11800,서울특별시 종로구 내수동
18,1111011900,서울특별시,종로구,세종로,,11110,11900,서울특별시 종로구 세종로
19,1111012000,서울특별시,종로구,신문로1가,,11110,12000,서울특별시 종로구 신문로1가
20,1111012100,서울특별시,종로구,신문로2가,,11110,12100,서울특별시 종로구 신문로2가
21,1111012200,서울특별시,종로구,청진동,,11110,12200,서울특별시 종로구 청진동
22,1111012300,서울특별시,종로구,서린동,,11110,12300,서울특별시 종로구 서린동
23,1111012400,서울특별시,종로구,수송동,,11110,12400,서울특별시 종로구 수송동
24,1111012500,서울특별시,종로구,중학동,,11110,12500,서울특별시 종로구 중학동
